writer_id,writer_name
989,Danny Summonte
990,Dante Aubain
991,Markku Lehmuskallio
992,Anastasia Lapsui
993,Antoine Cuypers
994,Nabil Ben Yadir
995,Horst von M  llendorff
996,Adam Scott Weissman
997,Adam Egypt Mortimer
998,Brian DeLeeuw
999,Oliver Stone
1000,S  ichir   Tahara
1001,Tatsuhiko Kamoi
1002,Mario Sequi
1003,Luigi Bonelli
1004,Vinicio Marinucci
1005,Aden Ramirez
1006,Sue Ann Taylor
1007,Lev Kalman
1008,Sarah Dziedzic
1009,Whitney Horn
1010,Paolo Mannarino
1011,Hugo Butler
1012,Florian Hanig
1013,Andrea Sawatzki
1014,Wei Huang
1015,Chengfeng Chen
1016,Minmin Huang
1017,Jingrui Li
1018,Zora Howard
1019,Rashaad Ernesto Green
1020,Robert Hecker
1021,Bradley Thompson
1022,Paul Leadon
1023,Barak Goodman
1024,David Margolik
1025,Gisela Cisil  n
1026,Imanol S  nchez
1027,Nathan Horrocks
1028,Robert Bathurst
1029,Konstanze Breitebner
1030,Sean J.S. Jourdan
1031,Lorenzo Doumani
1032,Miguel M. Delgado
1033,Arnold Lipp
1034,Hans Wilhelm
1035,Jaime Salvador
1036,Michael Joseph
1037,Kautuk Saksena
1038,Nariman Turebayev
1039,Edward T. Lowe Jr.
1040,Herman C. McNeile
1041,Noah Bessey
1042,Crisaldo Pablo
1043,Junji Ito
1044,Yoshinobu Fujioka
1045,Josh Olson
1046,Hern  n Jim  nez
1047,Jer  nimo Rodr  guez
1048,Alejandro Fern  ndez Almendras
1049,Alex Anna
1050,Tim Kelly
1051,Andrew Maisner
1052,Richard Kaye
1053,Shivam Ganesan
1054,Laura Gabbert
1055,Oliver Schwarz
1056,Hans Rameau
1057,Heinz Oskar Wuttig
1058,Wolfgang Altendorf
1059,Michael Mansfeld
1060,Randall Wallace
1061,Hans Matos C  mac
1062,Matthew Whittle
1063,Abrah  o Souza
1064,Paula Fox
1065,Frank D. Gilroy
1066,Maricruz Pedregal
1067,James Gunn
1068,Richard Matheson
1069,Geoff Meed
1070,Bejoy Nambiar
